actual,proposed
0.0,11.791111946105957
0.0,7.416165351867676
0.0,2.76371431350708
0.0,2.0937576293945312
0.0,6.950377464294434
0.0,11.160479545593262
0.0,15.21728229522705
0.0,19.33723258972168
206.4216766357422,23.512683868408203
230.29510498046875,27.741609573364258
254.16851806640625,31.945697784423828
271.22088623046875,35.865474700927734
291.68377685546875,39.77518844604492
308.73626708984375,43.49047088623047
0.0,46.12856674194336
0.0,29.20999526977539
0.0,17.694704055786133
0.0,9.504077911376953
0.0,3.8534350395202637
0.0,0.0126495948061347
0.0,2.790468454360962
0.0,4.708926677703857
0.0,5.74595832824707
0.0,6.300329685211182
0.0,6.512810707092285
0.0,6.661683559417725
0.0,7.240314483642578
0.0,8.058737754821777
0.0,8.809287071228027
0.0,9.328453063964844
0.0,9.512895584106445
0.0,9.928619384765625
0.0,10.212051391601562
0.0,10.22802448272705
0.0,10.202719688415527
0.0,9.957405090332031
0.0,9.38548469543457
0.0,8.884955406188965
0.0,8.13486099243164
0.0,7.566712856292725
0.0,6.932705879211426
0.0,6.269546985626221
0.0,5.544609546661377
0.0,4.487415790557861
0.0,3.3708250522613525
