actual,proposed
-6.561649799346924,-6.756431579589844
-6.568248271942139,-6.701032638549805
-6.568248271942139,-6.663211345672607
-6.568248271942139,-6.636138439178467
-6.561649799346924,-6.616771697998047
-6.473837375640869,-6.601042747497559
-6.493385314941406,-6.564803600311279
-6.512909889221191,-6.544431686401367
-6.525912284851074,-6.535431861877441
-6.545396327972412,-6.532712459564209
-6.564855575561523,-6.536337375640869
-6.496432304382324,-6.544490814208984
-6.521972179412842,-6.53077507019043
-6.5410990715026855,-6.528260231018066
-6.566566467285156,-6.5319294929504395
-6.579283714294434,-6.541833400726318
-6.451158046722412,-6.552542686462402
-6.476119518280029,-6.523642539978027
-6.494815349578857,-6.5100789070129395
-6.507266521453857,-6.5057196617126465
-6.532139778137207,-6.506161689758301
-6.363232135772705,-6.5135884284973145
-6.381467342376709,-6.470774173736572
-6.39968204498291,-6.445309162139893
-6.411813735961914,-6.432286262512207
-6.429994106292725,-6.42643928527832
-6.442340850830078,-6.427455425262451
-6.454428195953369,-6.4317097663879395
-6.460468292236328,-6.438203811645508
-6.466506004333496,-6.444568634033203
-6.478574275970459,-6.450839519500732
-6.427638530731201,-6.458768367767334
-6.433621883392334,-6.449880599975586
-6.433621883392334,-6.445236682891846
-6.439602851867676,-6.441919326782227
-6.445581912994385,-6.441257476806641
-6.439602851867676,-6.442492961883545
-6.332334995269775,-6.441667556762695
-6.338240146636963,-6.410505771636963
-6.344143390655518,-6.389891624450684
-6.338240146636963,-6.376833915710449
-6.332334995269775,-6.365816593170166
-6.251317024230957,-6.356257438659668
-6.257165908813477,-6.326343536376953
-6.251317024230957,-6.306608200073242
-6.257165908813477,-6.290830135345459
-6.245466232299805,-6.281218528747559
-6.154409408569336,-6.271011829376221
-6.154409408569336,-6.237780570983887
-6.154409408569336,-6.21400260925293
-6.148626804351807,-6.19699764251709
-6.154409408569336,-6.183191776275635
-6.062010288238525,-6.174973487854004
-6.06773042678833,-6.142775535583496
-6.062010288238525,-6.121367931365967
